FlowArea,File,Runtime,Operation,Table/RPC,Columns,Touches legacy tables?,Allowed?,Notes
other,app\api\anchors\rank\route.ts,api-route(server),READ,dream_session_summaries,latent_analysis,YES,NO,
frame,app\api\frame\route.ts,api-route(server),READ,dream_sessions,"ai_framing_audit,ai_framing_text,framing_text,id,latent_analysis,raw_dream_text,recommended_directions,status,title,user_id",NO,NO,
frame,app\api\frame\route.ts,api-route(server),READ,dream_session_summaries,"framing_text,latent_analysis,recommended_directions,title",YES,NO,
frame,app\api\frame\route.ts,api-route(server),READ,dream_observation,obs,YES,NO,
frame,app\api\frame\route.ts,api-route(server),WRITE,dream_sessions,"ai_framing_audit,ai_framing_text,framing_text,recommended_directions,session_id,status,title,user_id",NO,NO,
frame,app\api\frame\route.ts,api-route(server),WRITE,dream_session_summaries,"framing_text,recommended_directions,session_id,title,user_id",YES,NO,
frame,app\api\frame\route.ts,api-route(server),WRITE,dream_sessions,"ai_framing_audit,ai_framing_text,framing_text,recommended_directions,session_id,status,title,user_id",NO,NO,
frame,app\api\frame\route.ts,api-route(server),WRITE,dream_session_summaries,"framing_text,recommended_directions,session_id,title,user_id",YES,NO,
frame,app\api\frame\route.ts,api-route(server),WRITE,dream_sessions,"ai_framing_audit,ai_framing_text,framing_text,recommended_directions,session_id,status,title,user_id",NO,NO,
frame,app\api\frame\route.ts,api-route(server),WRITE,dream_session_summaries,"framing_text,recommended_directions,session_id,title,user_id",YES,NO,
frame,app\api\frame\route.ts,api-route(server),WRITE,dream_sessions,"ai_framing_audit,ai_framing_text,framing_text,recommended_directions,session_id,status,title,user_id",NO,NO,
frame,app\api\frame\route.ts,api-route(server),WRITE,dream_session_summaries,"framing_text,recommended_directions,session_id,title,user_id",YES,NO,
ensure,app\api\frame\ensure\route.ts,api-route(server),READ,dream_sessions,id,NO,NO,
ensure,app\api\frame\ensure\route.ts,api-route(server),READ,dream_entries,"created_at,id,updated_at",NO,NO,
ensure,app\api\frame\ensure\route.ts,api-route(server),READ,dream_answers,"created_at,id,updated_at",NO,NO,
